類別,限制,對分析的影響
看不到,會員限定影片（約 107 支差距）,會員收入線的內容與成效完全未納入；需頻道擁有者授權才能取得
看不到,歷史每日觀看數,API 僅提供當下累計值，無法回溯；每日快照自建置日起累積
看不到,YouTube Analytics（觀眾留存、流量來源、收益）,需頻道擁有者 OAuth 授權，本報告僅使用公開資料
看不到,影片畫面與口頭內容,僅在影片中口頭揭露的業配無法偵測
看不到,產品上市日期,無法用時序推斷「上市前搶先開箱」是否為廠商提供樣機
判不準,Shorts 業配偵測（召回率 14.6%）,85.7% 說明欄空白，僅能倚賴 40 字標題；商業分析已排除 Shorts
判不準,未分類影片 415 支（11.8%）,關鍵字規則無法歸類，類型分析中列為獨立區塊
判不準,業配的金額與合作深度,只能判定有無，無法衡量商業強度；一次大型業配與一次小額合作同權
判不準,業配與廠商提供樣機的界線,本專案將樣機提供納入業配，但無法區分兩者比例
判不準,系列內部的業配成效,各系列樣本不足，以自助抽樣法估計之 95% 信賴區間跨越零，不下結論
不能推論,無對照頻道,無法排除整體市場趨勢的影響，觀察到的變化未必為該頻道獨有
不能推論,2024 年後影片仍在累積觀看,實測 8 日成長中位數顯示仍在成長，跨年觀看比較限 2023 年及以前
不能推論,2026 年僅半年資料,該年數字不與完整年度並列比較
不能推論,分類規則需人工維護,新系列或新的業配措辭會漏抓，已設待檢視機制降低維護成本
