檢核編號,title,published_date,category,video_format,目前判定,sponsor_score,sponsor_hits,is_self_promo,說明欄摘要,url,實際是否業配_請填寫,備註_請填寫,video_id
1,Fold7的下一代竟然叫Fold8 Ultra！主要還是新出的Fold8是全新比例，而原本的方形書本折疊就改名為Fold8 Ultra，這代比較有感的是多了抗反射塗層跟增加電池密度，續航更好啦！,2026/7/22,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=2bplSe6pkLE,是,影片發布時間早於商品上市時間，必定是廠商業配,2bplSe6pkLE
2,私底下的Joeman，就是一個阿伯,2026/5/31,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=M7eF66fQBxs,否,無商業行為,M7eF66fQBxs
3,花生加可樂竟然會好喝？實測看看！,2026/4/8,美食,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=jGrA3JTWmIY,否,無商業行為,jGrA3JTWmIY
4,謝謝比特幣教會了我什麼叫做工作的意義，這種東西能持有真的是太幸福了🥰🥰🥰#投資失利 #崩跌 #崩潰 #還我錢,2026/2/7,財經/投資,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=036GoyUgzjs,否,無商業行為,036GoyUgzjs
5,見證奇蹟的時刻！,2025/12/17,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=zlnlIB1_7Wk,否,內容是自營商品的行銷活動而以,zlnlIB1_7Wk
6,自駕如何拍出漂亮的風景畫面？首先你需要一台OSMO 360，然後⋯再有一台敞篷車就可以了！#全景相機 #dji,2025/12/6,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=HhQ4VH1UTU4,是,影片標題有直接#商品廠商,HhQ4VH1UTU4
7,直男學化妝第二集！如何簡單懶人化妝又不脫妝？#OBgETW #OBgE粉底棒 #OBgE定妝噴霧,2025/11/7,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=GecjuFqSz2Q,是,影片標題有直接#商品廠商與商品名,GecjuFqSz2Q
8,iPhone Air專用的行動電源在台灣上市啦！但怎麼好像不只iPhone Air能用⋯莫非？#magsafe #行動電源 #2025 #pixel,2025/10/16,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=ftwV9Q0e7Jo,否,雖然有#商品，但同時#該廠商的競品，且無提到賞商名字與直接導流行為，該影片為純粹搭上新品發售流量,ftwV9Q0e7Jo
9,人生繳過最貴的一次停車費⋯⋯#盤子 #耍笨 #uspace,2025/10/5,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=XHZLE-g8t4Q,否,無商業行為,XHZLE-g8t4Q
10,iPhone 17 Pro最新橘色搶先看！現場看有點消光橘，新增8倍光學變焦、前後鏡頭同時錄影功能！其他更新追蹤我、陸續補上！,2025/9/10,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=JAB8P3ZAd8s,討論後判定,影片發布時間早於商品上市時間，但該影片為廠商的商品發布會，受邀參加是否算商業業配影片，由你來判斷,JAB8P3ZAd8s
