weight,match_field,pattern,note
3,both,"折扣碼|優惠碼|折價碼|專屬碼|優惠代碼|折扣代碼",專屬導購代碼
3,both,"(專屬|限定|獨家).{0,8}(優惠|折扣|連結|活動|價格)",專屬導購連結
3,both,"感謝.{0,20}(贊助|提供|邀約|邀請|支持本集)",致謝贊助句型
3,both,"(本|此|這)(影片|集|部影片|支影片|次).{0,20}(贊助|合作|提供|邀請|業配)",影片合作聲明
3,both,"(廣告|商業|品牌|付費)(合作|贊助|宣傳)",明確商業合作字樣
3,both,"贊助廠商|贊助商|合作廠商|業配|工商合作",直接提及贊助方
3,both,"(推薦|專屬|邀請|優惠).{0,4}連結",推薦或聯盟行銷連結
3,both,"禮包碼|兌換碼|優惠序號|活動序號|折扣序號",活動兌換代碼
3,both,"(?<!不定期)(?<!各種)團購連結",品牌專屬團購連結
3,both,"(使用|輸入|填寫).{0,10}(我的|專屬).{0,8}(連結|代碼|碼)",專屬導購指引
3,both,"(產品|商品|好物)?這裡買|哪裡買|購買(連結|資訊|網址)",導購區塊標題
3,both,"(產品|商品)(資訊|連結|頁面|網址)[:：]?\s*https?://",產品導流連結
3,both,"(看更多|更多)(產品|商品|資訊)[:：]?\s*https?://",延伸導流連結
3,both,"(了解|瞭解|查看)更多[:：]?\s*https?://",行動導流連結
3,both,"預約(鑑賞|賞屋|看房|試駕|體驗)",預約導流
3,both,"24h\.pchome|momoshop|shopee\.tw|momo\.dm|rakuten\.com\.tw",電商賣場連結
3,both,"團購中|團購又來|又來.{0,4}團購|專屬.{0,6}團購|團購.{0,8}\d+\s*折",團購檔期用語
3,both,"(連結|團購|優惠|代碼).{0,10}(IG|ig|Ig|IG主頁|限時動態|限動)",社群導流指引
3,both,"結帳.{0,6}輸入|輸入.{0,8}(折扣|優惠|代碼|序號)",結帳代碼指引
3,both,"跟.{0,12}(原廠|品牌|廠商|官方).{0,8}(合作|團購|聯名)",原廠合作聲明
3,both,"品牌日|限時下殺|下殺.{0,4}\d+折",促銷檔期用語
2,description,"折扣|折價|打折|折抵|現折|再折|立刻折|滿.{0,6}折|\d\s*折|折\s*[$＄]?\s*\d",折扣導購用語
2,description,"下單|團購|開賣|預購|限時|快閃|選購|訂購",購買行動用語
2,description,"活動(頁|網|連結|期間)|優惠(期間|活動|方案|連結)",行銷活動用語
2,description,"(立即|馬上|快去|趕快|現在).{0,6}(下載|購買|下單|訂購|前往|點擊|使用我)",行動呼籲句型
2,description,"(想|也想).{0,12}(體驗|入手|擁有|試試).{0,6}[?？]",導購問句
2,description,"各大通路|全台通路|指定通路|全省門市",通路鋪貨用語
2,description,"買\d+送\d+|第二件|加價購|滿額",促銷方案用語
2,description,"熱銷中|熱賣中|銷售冠軍|完售",銷售話術
2,description,"(代理銷售|專業服務|顧問服務)",服務導流
1,description,"官網|官方(網站|購物|商城|旗艦|LINE)",品牌官方導流
1,description,"(即日起|即刻起).{0,12}(至|起|前)",活動檔期用語
1,description,"新品|上市|開賣|首賣|新款|新色",新品發表用語
1,description,"廠商|品牌方",提及廠商
-4,both,"非業配|無業配|沒有業配|不是業配|非工商|自費(開箱|購買|購入)",明確聲明非業配
